team_name,team_id,age_group,gender,source,points,state,rank,url
B2016 EDP Championship Blue,392785,U10,Male,GotSport Rankings,0,CT,11,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=9
2016 Boys Blue SELECT,472206,U10,Male,GotSport Rankings,0,CT,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=15
Stamford FC Boys 2016 White,434658,U10,Male,GotSport Rankings,0,CT,10,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=18
Ginga FC Boys 2016 Pre-MLS NEXT Academy Division,397430,U10,Male,GotSport Rankings,0,CT,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=20
Beachside South NEAL U10 (2016),515351,U10,Male,GotSport Rankings,0,CT,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=23
Southern New England Elite 2016,636549,U10,Male,GotSport Rankings,0,CT,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=26
Farmington Fire FSC U10A Boys,525317,U10,Male,GotSport Rankings,0,CT,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=32
CFC Bethany B2016 EDP,643633,U10,Male,GotSport Rankings,0,CT,11,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=38
Southeast SC B16,523206,U10,Male,GotSport Rankings,0,CT,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=42
FC River North,497480,U10,Male,GotSport Rankings,0,CT,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=48
SCOR U10 Orange Boys,665380,U10,Male,GotSport Rankings,0,CT,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=51
CT Rush Central 2016 Boys White,387366,U10,Male,GotSport Rankings,0,CT,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=51
Glastonbury Hartwell,650905,U10,Male,GotSport Rankings,0,CT,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=64
Green Warriors GW 2015/16 White,494464,U10,Male,GotSport Rankings,0,CT,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=84
Highlander - Wolves,601023,U10,Male,GotSport Rankings,0,CT,10,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=86
B2016 White,529374,U10,Male,GotSport Rankings,0,CT,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=87
B2016 Blue,529372,U10,Male,GotSport Rankings,0,CT,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=90
VALLEY FC 2016 BOYS NAVY EDP PREMIER,499037,U10,Male,GotSport Rankings,0,CT,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=90
B2016 Orange,529376,U10,Male,GotSport Rankings,0,CT,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=91
New Canaan FC 2016 Boys Red,549004,U10,Male,GotSport Rankings,0,CT,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=92
ERU B2016 Black (U10),669008,U10,Male,GotSport Rankings,0,CT,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=96
Ct Select 2016 Black,645902,U10,Male,GotSport Rankings,0,CT,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=107
B2016 EDP Championship White,499016,U10,Male,GotSport Rankings,0,CT,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=114
Sporting CT 2016 Boys Gold,641984,U10,Male,GotSport Rankings,0,CT,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=118
Wilton B2016 Wolves,547571,U10,Male,GotSport Rankings,0,CT,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=124
Inter CT FC - Union 2016 Boys SL,395318,U10,Male,GotSport Rankings,0,CT,11,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=129
B2016 EDP Championship Black,524782,U10,Male,GotSport Rankings,0,CT,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=129
Westport U9 B2016 Gold,569003,U10,Male,GotSport Rankings,0,CT,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=130
2016 Boys White SELECT,472207,U10,Male,GotSport Rankings,0,CT,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=131
Olé Select 2016 Boys Yellow,392971,U10,Male,GotSport Rankings,0,CT,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=132
Panthers Black,656816,U10,Male,GotSport Rankings,0,CT,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=136
Sporting CT GVSA 2016 Boys,490334,U10,Male,GotSport Rankings,0,CT,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=139
Vale Middletown 2016 Boys Red,396539,U10,Male,GotSport Rankings,0,CT,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=139
ERU B2016 Gold (U10),669006,U10,Male,GotSport Rankings,0,CT,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=140
Ridgefield B2016 Black (U10) - EDP,522808,U10,Male,GotSport Rankings,0,CT,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=143
Inter CT FC - Union 2016 Boys EDP,523145,U10,Male,GotSport Rankings,0,CT,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=147
New Canaan FC 2016 Boys Black,549075,U10,Male,GotSport Rankings,0,CT,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=150
Westport U9 B2016 White,569001,U10,Male,GotSport Rankings,0,CT,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=150
New Canaan FC - 2016 Boys Grey 1,562928,U10,Male,GotSport Rankings,0,CT,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=151
Oakwood SC 16 Pre-MLS Next White,524548,U10,Male,GotSport Rankings,0,CT,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=157
Oakwood SC 16 Pre-MLS Next Blue,524546,U10,Male,GotSport Rankings,0,CT,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=157
Wilton B2016 United,547570,U10,Male,GotSport Rankings,0,CT,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=158
Panthers Green,660930,U10,Male,GotSport Rankings,0,CT,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=159
Olé Select 2016 Girls Yellow,626650,U10,Female,GotSport Rankings,0,CT,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=11
Glastonbury Red Bulls,580649,U10,Female,GotSport Rankings,0,CT,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=21
2016 Girls Blue SELECT,472211,U10,Female,GotSport Rankings,0,CT,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=21
New Canaan FC 2016 Girls Red,549076,U10,Female,GotSport Rankings,0,CT,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=21
Southern New England Elite 2016,621418,U10,Female,GotSport Rankings,0,CT,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=25
G2016 Blue,172587,U10,Female,GotSport Rankings,0,CT,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=26
G2016 White,172586,U10,Female,GotSport Rankings,0,CT,12,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=28
G2016 Orange,289863,U10,Female,GotSport Rankings,0,CT,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=30
CFC North 2016 Wolves/Sportsworld Sky,522193,U10,Female,GotSport Rankings,0,CT,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=37
Sporting CT GVSA 2016/17 Girls,251759,U10,Female,GotSport Rankings,0,CT,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=40
G2016 EDP Championship Blue,466098,U10,Female,GotSport Rankings,0,CT,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=45
Westport G2016 Blue,239604,U10,Female,GotSport Rankings,0,CT,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=46
Inter CT FC - Union 2016 Girls SL,395314,U10,Female,GotSport Rankings,0,CT,12,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=53
Wilton G2016 Spirit,547575,U10,Female,GotSport Rankings,0,CT,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=54
Farmington Girls 2016,524633,U10,Female,GotSport Rankings,0,CT,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=55
Ridgefield G2016 Black (U10),661214,U10,Female,GotSport Rankings,0,CT,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=61
Vale Middletown 2016 Girls,520784,U10,Female,GotSport Rankings,0,CT,10,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=65
Inter CT FC - Union 2016 Girls EDP,523147,U10,Female,GotSport Rankings,0,CT,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=68
Danbury Youth Soccer Club Girls 2016's (U9's),565931,U10,Female,GotSport Rankings,0,CT,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=68
Glastonbury Football Club,489767,U10,Female,GotSport Rankings,0,CT,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=74
Oakwood SC 16 Pre-GA,524534,U10,Female,GotSport Rankings,0,CT,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=74
Wilton G2016 Courage,547574,U10,Female,GotSport Rankings,0,CT,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=78
Ridgefield G2016 Orange (U10),661215,U10,Female,GotSport Rankings,0,CT,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=79
New Canaan FC 2016 Girls Black,549077,U10,Female,GotSport Rankings,0,CT,12,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=81
Joga Bonito Academy 2016 Girls,571111,U10,Female,GotSport Rankings,0,CT,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=85
G2016 EDP Championship White,576497,U10,Female,GotSport Rankings,0,CT,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=86
CT Rush Central 2016/17 Girls,525060,U10,Female,GotSport Rankings,0,CT,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=88
CFC Ole B2015 Pre-ECNL,270709,U11,Male,GotSport Rankings,0,CT,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=11
TUSC 2015 Boys U11 Black,391381,U11,Male,GotSport Rankings,0,CT,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=30
Beachside South NEAL U11 (2015),144043,U11,Male,GotSport Rankings,0,CT,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=36
2015 Boys Blue SELECT,452018,U11,Male,GotSport Rankings,0,CT,11,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=53
VALLEY FC 2014 BOYS EDP PREMIER,272786,U11,Male,GotSport Rankings,0,CT,8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=58
Beachside North NEAL U11 (2015),144091,U11,Male,GotSport Rankings,0,CT,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=58
Ginga FC Boys 2015 Pre-MLS NEXT Academy Division,273328,U11,Male,GotSport Rankings,0,CT,10,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=60
B2015 Pre-ECNL I,392786,U11,Male,GotSport Rankings,0,CT,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=69
Levels SC 2015,449378,U11,Male,GotSport Rankings,0,CT,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=71
Oakwood SC 15 Pre-MLS Next Blue,399018,U11,Male,GotSport Rankings,0,CT,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=104
Ct Select Black 2015,576243,U11,Male,GotSport Rankings,0,CT,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=114
CFC North 2015 EDP Wolves Black,395104,U11,Male,GotSport Rankings,0,CT,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=117
CFC North 2015 EDP Wolves Black,395104,U11,Male,GotSport Rankings,0,CT,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=118
CT Rush South 2015 Boys,394199,U11,Male,GotSport Rankings,0,CT,12,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=130
2015 Boys White SELECT,452263,U11,Male,GotSport Rankings,0,CT,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=136
Glastonbury U11 Blue Sharks,580690,U11,Male,GotSport Rankings,0,CT,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=137
New Fairfield U10 Red,615126,U11,Male,GotSport Rankings,0,CT,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=152
TUSC 2016 Boys U10 Black,409606,U11,Male,GotSport Rankings,0,CT,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=157
Inter Connecticut 2015 Pre-NAL Boys,260298,U11,Male,GotSport Rankings,0,CT,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=157
CFC North 2015 EDP Star Hill Black,395108,U11,Male,GotSport Rankings,0,CT,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=159
JA Elite FC - 2015 Boys DSA (U11),644879,U11,Male,GotSport Rankings,0,CT,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=160
Southern New England Elite 2015,490303,U11,Male,GotSport Rankings,0,CT,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=165
CFC Ole B2015 Academy #1,395469,U11,Male,GotSport Rankings,0,CT,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=168
VALLEY FC 2015 BOYS EDP PREMIER,395209,U11,Male,GotSport Rankings,0,CT,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=182
Ajax Premier B2015 - Blue,505429,U11,Male,GotSport Rankings,0,CT,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=185
Ajax Premier B2015 - Blue,505429,U11,Male,GotSport Rankings,0,CT,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=186
CT Rush Central 2015 Boys Blue,387369,U11,Male,GotSport Rankings,0,CT,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=187
Suffield U11B Blue,414565,U11,Male,GotSport Rankings,0,CT,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=198
Suffield U11B Blue,414565,U11,Male,GotSport Rankings,0,CT,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=199
Boys 2014 Red,522363,U11,Male,GotSport Rankings,0,CT,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=202
Levels SC Yellow,316783,U11,Male,GotSport Rankings,0,CT,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=207
Southeast SC B15,396569,U11,Male,GotSport Rankings,0,CT,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=209
CFC North 2015 EDP Sportsworld Black,395107,U11,Male,GotSport Rankings,0,CT,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=218
Glastonbury Boys U10 Blue,581164,U11,Male,GotSport Rankings,0,CT,12,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=219
2015 Boys Red,424600,U11,Male,GotSport Rankings,0,CT,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=221
Vale Middletown 2015 Boys Black,452497,U11,Male,GotSport Rankings,0,CT,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=222
Ginga FC Boys 2015 Hamden United,577634,U11,Male,GotSport Rankings,0,CT,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=229
West Hartford 2015B Boys,426469,U11,Male,GotSport Rankings,0,CT,8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=233
CT Rush Select MLS Next Gen 2015 Boys,450512,U11,Male,GotSport Rankings,0,CT,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=239
Joga Bonito Academy 2015 Boys,571083,U11,Male,GotSport Rankings,0,CT,12,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=242
JCFC 2014/15 Boys,633888,U11,Male,GotSport Rankings,0,CT,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=246
Farm Boys FC,600705,U11,Male,GotSport Rankings,0,CT,8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=249
Connecticut FC Bethany Pre ECNL B2015,650897,U11,Male,GotSport Rankings,0,CT,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=251
Vale Middletown 2015 Boys Red,331083,U11,Male,GotSport Rankings,0,CT,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=255
Ginga FC Coastal Boys 2015 Pre-MLS NEXT Academy Division,397385,U11,Male,GotSport Rankings,0,CT,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=260
ERU B2015 Gold (U11),669009,U11,Male,GotSport Rankings,0,CT,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=260
SAFC BU11 Gold F25,558157,U11,Male,GotSport Rankings,0,CT,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=260
Wilton B2015 Blue,423222,U11,Male,GotSport Rankings,0,CT,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=264
B2015 Pre-ECNL II,399689,U11,Male,GotSport Rankings,0,CT,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=266
Green Warriors 2015 EDP Boys,395113,U11,Male,GotSport Rankings,0,CT,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=268
Southeast SC B15 Red,523204,U11,Male,GotSport Rankings,0,CT,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=271
Ridgefield B2015 Black (U11) - EDP,448923,U11,Male,GotSport Rankings,0,CT,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=274
Ginga FC Boys 2015 Academy Blue,452412,U11,Male,GotSport Rankings,0,CT,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=275
B2015 EDP Championship,451379,U11,Male,GotSport Rankings,0,CT,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=304
Stamford FC Boys 2015 White,550176,U11,Male,GotSport Rankings,0,CT,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=306
CSC United B2015,275906,U11,Male,GotSport Rankings,0,CT,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=308
B2015 White,418706,U11,Male,GotSport Rankings,0,CT,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=309
CT Rush Central 2015 Boys White,523477,U11,Male,GotSport Rankings,0,CT,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=311
BSC Boys U10 Blue,566951,U11,Male,GotSport Rankings,0,CT,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=316
Ajax Premier B2015 - Pink,391901,U11,Male,GotSport Rankings,0,CT,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=319
Ole Select 2015 Boys Orange,264060,U11,Male,GotSport Rankings,0,CT,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=328
Dundee,329961,U11,Male,GotSport Rankings,0,CT,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=329
Ginga FC Boys 2015 Academy Yellow,273335,U11,Male,GotSport Rankings,0,CT,12,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=329
Monroe B2015 (U11),551637,U11,Male,GotSport Rankings,0,CT,8,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=333
Sporting CT GVSA 2015 Boys,372743,U11,Male,GotSport Rankings,0,CT,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=333
Ole Select 2015 Boys Yellow,380454,U11,Male,GotSport Rankings,0,CT,5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=338
Ridgefield B2015 Orange (U11),448924,U11,Male,GotSport Rankings,0,CT,2,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=349
Wilton B2015 White,563059,U11,Male,GotSport Rankings,0,CT,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=351
CFC North 2015 Pre ECNL Sky,606063,U11,Male,GotSport Rankings,0,CT,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=351
JCFC 2015. Cuenquita,444745,U11,Male,GotSport Rankings,0,CT,14,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=353
FSC U11A Boys,621729,U11,Male,GotSport Rankings,0,CT,4,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=358
Westport U10 B2015 White,569004,U11,Male,GotSport Rankings,0,CT,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=361
Oakwood SC 15 Pre-MLS Next White,399020,U11,Male,GotSport Rankings,0,CT,12,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=365
Inter CT FC - Union 2015 Boys SL,395317,U11,Male,GotSport Rankings,0,CT,11,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=370
B2015 Blue,418704,U11,Male,GotSport Rankings,0,CT,20,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=11&search[gender]=m&search[page]=378
